Student ID,student_name,gender,grade,school_name,reading_score,math_score,School ID,type,size,budget
19267,Barbara Daniel,F,11th,Bailey High School,99,76,7,District,4976,3124928
20808,Monica Oliver,F,11th,Bailey High School,99,76,7,District,4976,3124928
22582,Tammy Suarez,F,12th,Bailey High School,99,76,7,District,4976,3124928
18933,Shane Perez,M,9th,Bailey High School,99,75,7,District,4976,3124928
21032,Valerie Hill,F,11th,Bailey High School,99,75,7,District,4976,3124928
22011,Diana Hale,F,11th,Bailey High School,99,75,7,District,4976,3124928
22301,Karla Mcneil,F,9th,Bailey High School,99,75,7,District,4976,3124928
20391,Amy Baird,F,9th,Bailey High School,99,74,7,District,4976,3124928
18620,Teresa Contreras,F,11th,Bailey High School,99,73,7,District,4976,3124928
22810,Anthony Anderson,M,12th,Bailey High School,99,73,7,District,4976,3124928
22471,Maria Norman,F,12th,Bailey High School,99,72,7,District,4976,3124928
18683,Luis Allen,M,12th,Bailey High School,99,71,7,District,4976,3124928
19730,Debbie Davenport,F,10th,Bailey High School,99,71,7,District,4976,3124928
21281,Douglas Hamilton,M,9th,Bailey High School,99,71,7,District,4976,3124928
22337,Lindsey Davis,F,10th,Bailey High School,99,71,7,District,4976,3124928
22352,Madison Wagner,F,9th,Bailey High School,99,71,7,District,4976,3124928
22762,Angela Gray,F,10th,Bailey High School,99,71,7,District,4976,3124928
19281,Andrew Owens,M,11th,Bailey High School,99,70,7,District,4976,3124928
21546,Teresa Odonnell,F,10th,Bailey High School,99,70,7,District,4976,3124928
19124,Sergio Graham,M,11th,Bailey High School,99,69,7,District,4976,3124928
18135,Karen Munoz,F,12th,Bailey High School,99,68,7,District,4976,3124928
18801,Kari Barrett,F,10th,Bailey High School,99,68,7,District,4976,3124928
20346,Daniel Nelson,M,10th,Bailey High School,99,68,7,District,4976,3124928
20792,Mrs. Lori Rogers MD,F,9th,Bailey High School,99,67,7,District,4976,3124928
20908,Maria Castro,F,11th,Bailey High School,99,67,7,District,4976,3124928
21143,Derrick Johnson,M,11th,Bailey High School,99,67,7,District,4976,3124928
18090,Cameron Davis,M,12th,Bailey High School,99,66,7,District,4976,3124928
18200,Sean Watkins,M,12th,Bailey High School,99,64,7,District,4976,3124928
19484,Barbara Carr,F,10th,Bailey High School,99,64,7,District,4976,3124928
21340,Lawrence Hinton,M,10th,Bailey High School,99,63,7,District,4976,3124928
21620,Stephen Mccall,M,12th,Bailey High School,99,63,7,District,4976,3124928
22390,Michelle Cline,F,12th,Bailey High School,99,63,7,District,4976,3124928
22655,Teresa Hernandez,F,12th,Bailey High School,99,63,7,District,4976,3124928
22776,Daniel White,M,12th,Bailey High School,99,63,7,District,4976,3124928
18778,Alejandro Garner,M,10th,Bailey High School,99,62,7,District,4976,3124928
18977,Lisa Olson,F,11th,Bailey High School,99,62,7,District,4976,3124928
22645,Cynthia Castillo,F,9th,Bailey High School,99,62,7,District,4976,3124928
19562,Tonya Walsh,F,9th,Bailey High School,99,61,7,District,4976,3124928
21445,Jessica Smith,F,9th,Bailey High School,99,61,7,District,4976,3124928
19592,Anthony Reeves,M,12th,Bailey High School,99,60,7,District,4976,3124928
22217,Catherine Curtis,F,12th,Bailey High School,99,60,7,District,4976,3124928
19686,Jeffrey Rivas,M,9th,Bailey High School,99,59,7,District,4976,3124928
21168,Jose Bennett,M,12th,Bailey High School,99,59,7,District,4976,3124928
21716,Kenneth Avila Jr.,M,9th,Bailey High School,99,59,7,District,4976,3124928
21776,Holly Mcpherson,F,9th,Bailey High School,99,59,7,District,4976,3124928
22697,Oscar Kaiser,M,12th,Bailey High School,99,59,7,District,4976,3124928
19062,Justin Henry,M,9th,Bailey High School,99,58,7,District,4976,3124928
20550,Nicholas Ford,M,11th,Bailey High School,99,58,7,District,4976,3124928
21259,Christopher West,M,12th,Bailey High School,99,58,7,District,4976,3124928
21503,Kyle Gomez,M,12th,Bailey High School,99,58,7,District,4976,3124928
19800,John Guerra,M,12th,Bailey High School,99,57,7,District,4976,3124928
21529,Madeline Brown,F,12th,Bailey High School,99,57,7,District,4976,3124928
22838,Robert Miller,M,11th,Bailey High School,99,57,7,District,4976,3124928
18835,Darlene Lee,F,9th,Bailey High School,99,56,7,District,4976,3124928
19222,Angela Glass,F,10th,Bailey High School,99,56,7,District,4976,3124928
19243,Nancy Thomas,F,11th,Bailey High School,99,56,7,District,4976,3124928
19983,Clinton Wallace,M,10th,Bailey High School,99,56,7,District,4976,3124928
21303,Louis Hodges DDS,M,9th,Bailey High School,99,56,7,District,4976,3124928
22200,Jessica Richard,F,11th,Bailey High School,99,56,7,District,4976,3124928
19477,Pamela Ritter,F,9th,Bailey High School,99,55,7,District,4976,3124928
18228,Katherine Wilson,F,11th,Bailey High School,98,99,7,District,4976,3124928
19044,Debbie Brown DVM,F,9th,Bailey High School,98,99,7,District,4976,3124928
19965,Michele Love,F,11th,Bailey High School,98,99,7,District,4976,3124928
18714,Lauren West,F,9th,Bailey High School,98,98,7,District,4976,3124928
18741,Justin Hill,M,9th,Bailey High School,98,98,7,District,4976,3124928
19049,Scott Burke,M,11th,Bailey High School,98,97,7,District,4976,3124928
21093,Sharon Nelson,F,10th,Bailey High School,98,96,7,District,4976,3124928
18068,Amanda Taylor,F,10th,Bailey High School,98,95,7,District,4976,3124928
18925,Rebecca Stout,F,9th,Bailey High School,98,95,7,District,4976,3124928
19058,Angela Ford,F,12th,Bailey High School,98,95,7,District,4976,3124928
20850,Pamela Martin,F,11th,Bailey High School,98,95,7,District,4976,3124928
21279,Donna Cox,F,10th,Bailey High School,98,95,7,District,4976,3124928
21681,Julie Cooper,F,10th,Bailey High School,98,95,7,District,4976,3124928
21957,Brittany Smith,F,11th,Bailey High School,98,95,7,District,4976,3124928
18753,Jennifer Garcia,F,12th,Bailey High School,98,94,7,District,4976,3124928
20298,Deborah Anderson,F,9th,Bailey High School,98,94,7,District,4976,3124928
22212,Daniel Porter,M,12th,Bailey High School,98,94,7,District,4976,3124928
22660,Kimberly Porter,F,9th,Bailey High School,98,94,7,District,4976,3124928
18790,Kenneth Garcia,M,9th,Bailey High School,98,93,7,District,4976,3124928
20013,Angela Wilkins,F,9th,Bailey High School,98,93,7,District,4976,3124928
20514,Erik Dunlap,M,9th,Bailey High School,98,93,7,District,4976,3124928
21040,Dawn Nguyen,F,11th,Bailey High School,98,93,7,District,4976,3124928
22236,Taylor Woods,F,12th,Bailey High School,98,93,7,District,4976,3124928
22667,Lisa Knight,F,10th,Bailey High School,98,93,7,District,4976,3124928
18749,Kathleen Lewis,F,12th,Bailey High School,98,92,7,District,4976,3124928
19303,Jose Butler,M,9th,Bailey High School,98,92,7,District,4976,3124928
22572,Laura Gates,F,11th,Bailey High School,98,92,7,District,4976,3124928
18772,Brandi Little,F,11th,Bailey High School,98,91,7,District,4976,3124928
18938,John Paul,M,11th,Bailey High School,98,91,7,District,4976,3124928
19052,Luis Best,M,10th,Bailey High School,98,91,7,District,4976,3124928
19137,Alexis Matthews,F,9th,Bailey High School,98,91,7,District,4976,3124928
20533,Susan Schwartz,F,11th,Bailey High School,98,91,7,District,4976,3124928
20657,Nancy Wheeler,F,9th,Bailey High School,98,91,7,District,4976,3124928
22382,Kristopher Wright,M,9th,Bailey High School,98,90,7,District,4976,3124928
18482,Melissa Kelly,F,9th,Bailey High School,98,89,7,District,4976,3124928
19948,Michael Klein,M,12th,Bailey High School,98,89,7,District,4976,3124928
20512,Debra Jackson,F,9th,Bailey High School,98,89,7,District,4976,3124928
21100,Thomas Martinez,M,11th,Bailey High School,98,88,7,District,4976,3124928
18856,Erica Baker,F,9th,Bailey High School,98,87,7,District,4976,3124928
19207,Adriana Graves,F,12th,Bailey High School,98,87,7,District,4976,3124928
19724,Daniel Hale,M,12th,Bailey High School,98,87,7,District,4976,3124928
19861,John Clark,M,9th,Bailey High School,98,87,7,District,4976,3124928
19348,Bradley Martin,M,11th,Bailey High School,98,86,7,District,4976,3124928
20474,Kristen Williamson,F,9th,Bailey High School,98,86,7,District,4976,3124928
21320,Cathy Alexander,F,12th,Bailey High School,98,86,7,District,4976,3124928
22237,Patricia Lucas,F,11th,Bailey High School,98,86,7,District,4976,3124928
18054,Karen Allen,F,11th,Bailey High School,98,85,7,District,4976,3124928
20555,Erika Johnson,F,9th,Bailey High School,98,85,7,District,4976,3124928
22670,Anthony Welch,M,9th,Bailey High School,98,85,7,District,4976,3124928
19797,Laura Martinez,F,12th,Bailey High School,98,84,7,District,4976,3124928
18699,Lisa Miller,F,11th,Bailey High School,98,83,7,District,4976,3124928
22508,Dakota Adams,M,9th,Bailey High School,98,83,7,District,4976,3124928
21580,Richard Wallace,M,11th,Bailey High School,98,82,7,District,4976,3124928
21654,David Jensen,M,9th,Bailey High School,98,82,7,District,4976,3124928
18007,Linda Jensen,F,11th,Bailey High School,98,81,7,District,4976,3124928
21270,Diana Moran,F,11th,Bailey High School,98,81,7,District,4976,3124928
19498,Veronica Fisher,F,11th,Bailey High School,98,80,7,District,4976,3124928
19693,Antonio Mcdonald,M,12th,Bailey High School,98,80,7,District,4976,3124928
19787,Heather Gonzalez,F,11th,Bailey High School,98,80,7,District,4976,3124928
20402,Molly Brown,F,9th,Bailey High School,98,80,7,District,4976,3124928
22411,Lisa Duarte,F,11th,Bailey High School,98,80,7,District,4976,3124928
22616,Kayla Burton,F,9th,Bailey High School,98,80,7,District,4976,3124928
17931,Miss Erin Bradley DDS,F,10th,Bailey High School,98,79,7,District,4976,3124928
20919,Kristen Hartman,F,9th,Bailey High School,98,79,7,District,4976,3124928
20987,Mike Hogan,M,11th,Bailey High School,98,79,7,District,4976,3124928
21487,Courtney Pena,F,10th,Bailey High School,98,79,7,District,4976,3124928
21917,Ernest Barnes,M,9th,Bailey High School,98,79,7,District,4976,3124928
22018,Timothy Stewart,M,9th,Bailey High School,98,79,7,District,4976,3124928
22149,Krystal Freeman,F,10th,Bailey High School,98,79,7,District,4976,3124928
20232,Ernest Powell,M,9th,Bailey High School,98,78,7,District,4976,3124928
21176,Joy Perez,F,11th,Bailey High School,98,78,7,District,4976,3124928
21786,Brandon Flowers,M,9th,Bailey High School,98,78,7,District,4976,3124928
22151,James Bowman,M,10th,Bailey High School,98,78,7,District,4976,3124928
18032,Dana Mitchell,F,10th,Bailey High School,98,77,7,District,4976,3124928
18249,Mrs. Kimberly Key DDS,F,12th,Bailey High School,98,77,7,District,4976,3124928
18822,Timothy Mckenzie,M,10th,Bailey High School,98,77,7,District,4976,3124928
19774,Mallory Howard,F,9th,Bailey High School,98,77,7,District,4976,3124928
19885,Amanda Hale DVM,F,9th,Bailey High School,98,76,7,District,4976,3124928
20563,Joseph Hansen,M,10th,Bailey High School,98,76,7,District,4976,3124928
21524,Angela Townsend,F,9th,Bailey High School,98,76,7,District,4976,3124928
21545,Madison Conley,F,12th,Bailey High School,98,76,7,District,4976,3124928
21026,David King,M,10th,Bailey High School,98,75,7,District,4976,3124928
22224,Debra Smith,F,9th,Bailey High School,98,75,7,District,4976,3124928
19076,Heather Williams,F,11th,Bailey High School,98,74,7,District,4976,3124928
20208,Gregory Allison,M,9th,Bailey High School,98,74,7,District,4976,3124928
20229,William Davis,M,10th,Bailey High School,98,74,7,District,4976,3124928
20321,Brent Carter,M,12th,Bailey High School,98,74,7,District,4976,3124928
22427,Travis Green,M,9th,Bailey High School,98,74,7,District,4976,3124928
19019,Jennifer Conley,F,12th,Bailey High School,98,73,7,District,4976,3124928
19302,Patrick Williams,M,12th,Bailey High School,98,73,7,District,4976,3124928
19893,Clinton Nguyen,M,9th,Bailey High School,98,73,7,District,4976,3124928
21051,Gabriel Dunn,M,12th,Bailey High School,98,73,7,District,4976,3124928
22345,Sarah Roman,F,10th,Bailey High School,98,73,7,District,4976,3124928
18727,Crystal Edwards,F,9th,Bailey High School,98,72,7,District,4976,3124928
20213,Michael Smith,M,12th,Bailey High School,98,72,7,District,4976,3124928
19482,Rebecca Livingston,F,11th,Bailey High School,98,71,7,District,4976,3124928
19968,Christopher Walker,M,11th,Bailey High School,98,71,7,District,4976,3124928
22126,Jennifer Gonzalez,F,9th,Bailey High School,98,71,7,District,4976,3124928
19290,Diana Chapman,F,9th,Bailey High School,98,70,7,District,4976,3124928
19812,Aaron Bailey,M,12th,Bailey High School,98,70,7,District,4976,3124928
20295,Rhonda Peterson MD,F,11th,Bailey High School,98,70,7,District,4976,3124928
20354,Brian Mccoy,M,10th,Bailey High School,98,70,7,District,4976,3124928
21122,Rachel Stephenson,F,10th,Bailey High School,98,70,7,District,4976,3124928
22506,Stacy Lopez,F,11th,Bailey High School,98,70,7,District,4976,3124928
19653,Teresa Reese,F,11th,Bailey High School,98,69,7,District,4976,3124928
19717,Rachael Horton,F,9th,Bailey High School,98,69,7,District,4976,3124928
20243,Mariah Holt,F,9th,Bailey High School,98,69,7,District,4976,3124928
21450,Ryan Cooke,M,10th,Bailey High School,98,69,7,District,4976,3124928
21740,Nancy Brown,F,11th,Bailey High School,98,69,7,District,4976,3124928
22612,Kathryn Bernard,F,9th,Bailey High School,98,69,7,District,4976,3124928
18220,Patricia Miller,F,9th,Bailey High School,98,68,7,District,4976,3124928
19567,Ryan Macias,M,11th,Bailey High School,98,68,7,District,4976,3124928
21401,Charles King,M,12th,Bailey High School,98,68,7,District,4976,3124928
21629,Ronald Rose,M,11th,Bailey High School,98,68,7,District,4976,3124928
21373,Richard Gilbert,M,11th,Bailey High School,98,67,7,District,4976,3124928
20289,Jackie Kirk,F,9th,Bailey High School,98,66,7,District,4976,3124928
21709,Connie Skinner,F,10th,Bailey High School,98,66,7,District,4976,3124928
21968,Travis Brandt,M,11th,Bailey High School,98,66,7,District,4976,3124928
22292,Michelle Villanueva,F,11th,Bailey High School,98,66,7,District,4976,3124928
19876,Linda Sanchez,F,10th,Bailey High School,98,65,7,District,4976,3124928
21028,Jason Parker,M,11th,Bailey High School,98,65,7,District,4976,3124928
21177,Angel Jackson,F,9th,Bailey High School,98,65,7,District,4976,3124928
21447,Amber Arnold,F,12th,Bailey High School,98,65,7,District,4976,3124928
21596,Bryan Mayer,M,9th,Bailey High School,98,65,7,District,4976,3124928
22445,Kathy Pennington,F,11th,Bailey High School,98,65,7,District,4976,3124928
19107,Angela Lopez,F,10th,Bailey High School,98,64,7,District,4976,3124928
21070,Emily Duran MD,F,9th,Bailey High School,98,64,7,District,4976,3124928
21290,John Walls,M,10th,Bailey High School,98,64,7,District,4976,3124928
21653,Nicole Burgess,F,9th,Bailey High School,98,64,7,District,4976,3124928
22654,Timothy Weaver,M,11th,Bailey High School,98,64,7,District,4976,3124928
18316,Renee Oconnor,F,11th,Bailey High School,98,63,7,District,4976,3124928
19518,Eric Hampton,M,12th,Bailey High School,98,63,7,District,4976,3124928
20196,Donna Rose,F,9th,Bailey High School,98,63,7,District,4976,3124928
22837,Ryan Allen,M,9th,Bailey High School,98,63,7,District,4976,3124928
19598,Robert Crawford,M,10th,Bailey High School,98,61,7,District,4976,3124928
19680,Tracy Perez,F,10th,Bailey High School,98,61,7,District,4976,3124928
22015,Anthony Garrett DDS,M,11th,Bailey High School,98,61,7,District,4976,3124928
22564,Megan Kirk,F,12th,Bailey High School,98,61,7,District,4976,3124928
21323,Lauren Kane,F,12th,Bailey High School,98,59,7,District,4976,3124928
20499,Anthony Brown,M,11th,Bailey High School,98,58,7,District,4976,3124928
21940,Amber Diaz,F,9th,Bailey High School,98,57,7,District,4976,3124928
22305,Miss Sarah West,F,12th,Bailey High School,98,57,7,District,4976,3124928
21576,Rebecca Williams,F,11th,Bailey High School,98,56,7,District,4976,3124928
21907,Renee Smith,F,12th,Bailey High School,98,56,7,District,4976,3124928
21913,Mrs. Sabrina Murillo MD,F,12th,Bailey High School,98,56,7,District,4976,3124928
22756,Jane Lang,F,11th,Bailey High School,98,56,7,District,4976,3124928
19752,Hannah Sullivan,F,12th,Bailey High School,98,55,7,District,4976,3124928
20387,Diane Fisher,F,10th,Bailey High School,98,55,7,District,4976,3124928
21125,Charles Avery,M,9th,Bailey High School,98,55,7,District,4976,3124928
22808,Jason Ortiz,M,9th,Bailey High School,98,55,7,District,4976,3124928
20738,Mr. Andre Jensen,M,10th,Bailey High School,97,99,7,District,4976,3124928
21432,Richard Levine,M,9th,Bailey High School,97,98,7,District,4976,3124928
18599,Christopher Knight,M,11th,Bailey High School,97,97,7,District,4976,3124928
22022,Richard Romero,M,11th,Bailey High School,97,97,7,District,4976,3124928
18158,Patricia Ingram,F,12th,Bailey High School,97,96,7,District,4976,3124928
22041,Robert Wise,M,10th,Bailey High School,97,95,7,District,4976,3124928
18748,Daniel Mcclure,M,10th,Bailey High School,97,94,7,District,4976,3124928
19969,Jennifer Howard,F,12th,Bailey High School,97,94,7,District,4976,3124928
18251,Aaron Pearson,M,11th,Bailey High School,97,93,7,District,4976,3124928
19020,Christine Ibarra,F,9th,Bailey High School,97,93,7,District,4976,3124928
19080,Carol Johnson,F,9th,Bailey High School,97,93,7,District,4976,3124928
19125,Kaitlyn Chambers,F,9th,Bailey High School,97,93,7,District,4976,3124928
19268,Carolyn Miller,F,9th,Bailey High School,97,93,7,District,4976,3124928
21224,Melanie Mills,F,9th,Bailey High School,97,93,7,District,4976,3124928
18796,Bryan Cook,M,11th,Bailey High School,97,92,7,District,4976,3124928
22312,Alicia Johnson,F,9th,Bailey High School,97,92,7,District,4976,3124928
22736,Cindy Powell,F,9th,Bailey High School,97,92,7,District,4976,3124928
18243,Kristen Smith,F,9th,Bailey High School,97,91,7,District,4976,3124928
18333,Jose Morrison,M,11th,Bailey High School,97,91,7,District,4976,3124928
20654,Kelli Williams,F,10th,Bailey High School,97,91,7,District,4976,3124928
20860,Thomas Mccoy,M,12th,Bailey High School,97,91,7,District,4976,3124928
19431,Madison Richards,F,11th,Bailey High School,97,90,7,District,4976,3124928
20274,Matthew Nelson,M,12th,Bailey High School,97,90,7,District,4976,3124928
21769,Joshua Santiago,M,10th,Bailey High School,97,89,7,District,4976,3124928
22705,Jessica Schmidt,F,9th,Bailey High School,97,89,7,District,4976,3124928
19558,Courtney Sandoval,F,12th,Bailey High School,97,88,7,District,4976,3124928
22833,Ronald Baker,M,12th,Bailey High School,97,88,7,District,4976,3124928
18851,Joshua Wilson,M,12th,Bailey High School,97,87,7,District,4976,3124928
18882,Jay Cline,M,10th,Bailey High School,97,87,7,District,4976,3124928
21504,Lonnie Herrera,M,12th,Bailey High School,97,87,7,District,4976,3124928
18034,Russell Gonzalez,M,11th,Bailey High School,97,86,7,District,4976,3124928
20265,Jeremy Watts,M,9th,Bailey High School,97,86,7,District,4976,3124928
19525,Brianna White,F,9th,Bailey High School,97,85,7,District,4976,3124928
19977,Robert Hill,M,12th,Bailey High School,97,85,7,District,4976,3124928
22287,Michael Nielsen,M,9th,Bailey High School,97,85,7,District,4976,3124928
18702,James Calhoun,M,9th,Bailey High School,97,84,7,District,4976,3124928
18971,Mr. Daniel Nguyen DDS,M,9th,Bailey High School,97,84,7,District,4976,3124928
17989,Anna Yang MD,F,11th,Bailey High School,97,83,7,District,4976,3124928
18600,Gregory Herring,M,9th,Bailey High School,97,83,7,District,4976,3124928
20190,Christine Miller,F,12th,Bailey High School,97,83,7,District,4976,3124928
20675,Christopher Baker,M,10th,Bailey High School,97,83,7,District,4976,3124928
22480,Theresa Kelley,F,12th,Bailey High School,97,82,7,District,4976,3124928
21069,Debra Evans,F,10th,Bailey High School,97,81,7,District,4976,3124928
21691,Jesse Dalton,M,10th,Bailey High School,97,81,7,District,4976,3124928
20312,Kimberly Mills,F,10th,Bailey High School,97,80,7,District,4976,3124928
20547,Megan Sims,F,12th,Bailey High School,97,80,7,District,4976,3124928
20861,David Chapman,M,10th,Bailey High School,97,80,7,District,4976,3124928
20977,Kristen Duncan,F,10th,Bailey High School,97,80,7,District,4976,3124928
21055,Katelyn Weber,F,12th,Bailey High School,97,80,7,District,4976,3124928
21118,Claire Lowery,F,10th,Bailey High School,97,80,7,District,4976,3124928
22001,Kyle Roberts,M,9th,Bailey High School,97,80,7,District,4976,3124928
19862,Amanda Francis,F,11th,Bailey High School,97,79,7,District,4976,3124928
20523,Stephanie White,F,11th,Bailey High School,97,79,7,District,4976,3124928
21867,Jennifer Hernandez,F,9th,Bailey High School,97,79,7,District,4976,3124928
22248,Rebecca Miranda,F,12th,Bailey High School,97,79,7,District,4976,3124928
22304,Heather Wilson,F,11th,Bailey High School,97,79,7,District,4976,3124928
22503,Nancy Nelson,F,9th,Bailey High School,97,79,7,District,4976,3124928
18394,Catherine Singleton,F,10th,Bailey High School,97,77,7,District,4976,3124928
19806,Michael Miller,M,11th,Bailey High School,97,77,7,District,4976,3124928
20070,Hayley Allen,F,10th,Bailey High School,97,77,7,District,4976,3124928
22325,Amanda Mosley,F,10th,Bailey High School,97,77,7,District,4976,3124928
22695,Julie Davis,F,9th,Bailey High School,97,77,7,District,4976,3124928
21253,Raven Lawson,F,11th,Bailey High School,97,76,7,District,4976,3124928
21924,Elizabeth Gibson,F,10th,Bailey High School,97,75,7,District,4976,3124928
20386,Amanda Aguilar,F,12th,Bailey High School,97,74,7,District,4976,3124928
20665,Larry Hurst,M,12th,Bailey High School,97,74,7,District,4976,3124928
17921,Carolyn Robinson,F,11th,Bailey High School,97,72,7,District,4976,3124928
19504,Joseph Sanders,M,11th,Bailey High School,97,72,7,District,4976,3124928
20382,Amy Sanchez,F,10th,Bailey High School,97,72,7,District,4976,3124928
20903,April Miller,F,12th,Bailey High School,97,72,7,District,4976,3124928
21704,Dustin Moss,M,9th,Bailey High School,97,72,7,District,4976,3124928
21994,Andrew Rodriguez,M,11th,Bailey High School,97,71,7,District,4976,3124928
20685,Scott Martinez,M,10th,Bailey High School,97,70,7,District,4976,3124928
21636,Matthew Hernandez,M,10th,Bailey High School,97,70,7,District,4976,3124928
20284,Rebekah Pearson,F,12th,Bailey High School,97,69,7,District,4976,3124928
20709,Jacob Carlson,M,9th,Bailey High School,97,69,7,District,4976,3124928
18538,Jessica Fritz,F,12th,Bailey High School,97,68,7,District,4976,3124928
20592,David Howard,M,10th,Bailey High School,97,68,7,District,4976,3124928
20731,Rachel Gonzalez,F,10th,Bailey High School,97,68,7,District,4976,3124928
21247,Alison Smith,F,9th,Bailey High School,97,68,7,District,4976,3124928
21541,Shawn Robinson,M,12th,Bailey High School,97,67,7,District,4976,3124928
21804,Nicole Moore,F,11th,Bailey High School,97,67,7,District,4976,3124928
21814,Gavin Mckinney,M,10th,Bailey High School,97,67,7,District,4976,3124928
22550,Olivia Reyes,F,10th,Bailey High School,97,67,7,District,4976,3124928
18283,Katherine Case,F,11th,Bailey High School,97,66,7,District,4976,3124928
19704,Michael Patel,M,9th,Bailey High School,97,66,7,District,4976,3124928
20915,Rhonda Garcia,F,9th,Bailey High School,97,66,7,District,4976,3124928
21000,Christopher Todd,M,12th,Bailey High School,97,66,7,District,4976,3124928
18478,Tamara Williams,F,10th,Bailey High School,97,65,7,District,4976,3124928
18534,Andrea Adams,F,10th,Bailey High School,97,65,7,District,4976,3124928
18575,Dustin Ford,M,10th,Bailey High School,97,65,7,District,4976,3124928
19063,Debra Horton,F,12th,Bailey High School,97,65,7,District,4976,3124928
20913,Diane Terry,F,12th,Bailey High School,97,65,7,District,4976,3124928
19786,Phillip Bishop,M,9th,Bailey High School,97,64,7,District,4976,3124928
20002,Alexander Freeman,M,10th,Bailey High School,97,64,7,District,4976,3124928
22438,Tracy Ford,F,10th,Bailey High School,97,64,7,District,4976,3124928
19809,Aaron Davis Jr.,M,11th,Bailey High School,97,63,7,District,4976,3124928
